#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2put      -537.9079264943589   -537.8499839744626   0.00019434016399891746
3put      -806.85781487428     -806.7799570969565   0.0002611362647106254
1put1sa   -969.1038245494124   -969.0510421586658   0.00017703300602551702
4put      -1075.813208436549   -1075.7186215126392  0.0003172460972993243
2put1sa   -1238.0690592917922  -1238.0004115643387  0.00023024560608207815
2sa       -1400.2386348312634  -1400.1893190565745  0.00016540591879539188
3put1sa   -1507.0419362062123  -1506.957197382372   0.0002842154078162601
1put2sa   -1669.2514474207971  -1669.1883524511707  0.00021162156507304594
4put1sa   -1776.00386515295    -1775.9013587766317  0.0003438080708313704
2put2sa   -1938.2331755499588  -1938.1521164517228  0.00027187354766418977
3sa       -2100.35932729638    -2100.2971683855503  0.0002084820084842244
3put2sa   -2207.2068874019997  -2207.1103739243995  0.00032370779003924264
1put3sa   -2369.3896019073923  -2369.3145098276273  0.0002518600696461835
4put2sa   -2476.1650821850985  -2476.051709982802   0.00038025222973867066
2put3sa   -2638.3856661062487  -2638.2960150369936  0.0003006911596679994
4sa       -2800.4828665237665  -2800.404834187698   0.00026172173761022797
3put3sa   -2907.370476596301   -2907.2632797373813  0.00035954002656316664
1put4sa   -3069.527518679458   -3069.439196167434   0.00029623515687967434
4put3sa   -3176.342680646421   -3176.223306248847   0.00040038369134152274
2put4sa   -3338.5380871548946  -3338.434974115375   0.00034584282917888735
3put4sa   -3607.520169133025   -3607.4013964782853  0.00039836543598728504
4put4sa   -3876.5080702116825  -3876.377119080478   0.00043921224619885543
