#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2dma      -269.7290275859577   -269.68281247069666  0.00015500625611600195
4dma      -539.4558138766141   -539.3837637114206   0.00024165743818142335
1dma1sa   -834.3364111123913   -834.2882482485838   0.00016153903675081828
2dma1sa   -969.2077730077947   -969.1489140578074   0.00019741388558512746
3dma1sa   -1104.08227008071    -1104.0116233663805  0.00023695024091712396
4dma1sa   -1238.9501255616487  -1238.8696688139366  0.0002698532541064489
2sa       -1398.9063952265894  -1398.8571904924718  0.00016503348689522336
1dma2sa   -1533.8136112654495  -1533.753208395807   0.00020259221748302107
2dma2sa   -1668.7041551230002  -1668.6335036325825  0.00023696625999674464
3dma2sa   -1803.5850273526603  -1803.5037461266684  0.0002726185678093917
4dma2sa   -1938.458146896534   -1938.3649289425766  0.00031265454958043313
3sa       -2098.360805836168   -2098.2987581103225  0.00020810909221941615
1dma3sa   -2233.2779836451773  -2233.205470103806   0.00024321160949475367
2dma3sa   -2368.1779084982027  -2368.0942652439862  0.0002805408492946813
3dma3sa   -2503.072215503587   -2502.9787115505046  0.00031361379534730524
4dma3sa   -2637.9554457523172  -2637.8526845745355  0.00034466267912764244
4sa       -2797.8175642301603  -2797.740197107555   0.00025949060072092794
1dma4sa   -2932.733571238599   -2932.648413068601   0.00028562190172131796
2dma4sa   -3067.6393300344325  -3067.5456713106432  0.0003141328988410318
3dma4sa   -3202.538007065103   -3202.4330673776453  0.0003519694363836707
4dma4sa   -3337.4343734162344  -3337.316934948853   0.00039389054966258523
5dma4sa   -3472.3220525753386  -3472.1968086873376  0.00042007005870097944
1dma5sa   -3632.1884830405306  -3632.091145794827   0.00032647072179487895
