#CLUSTER   dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1sa1w      -775.7895396134157   -775.7489225711055   0.00013623022743593474
1sa2w      -852.1280813236345   -852.0819127370395   0.00015485019820607294
1sa3w      -928.4671899286518   -928.4153452137273   0.00017388802590870378
1mea1sa1w  -985.8174050234671   -985.7647400541101   0.00017663917275545203
2mea1sa2w  -1272.176350978181   -1272.1040731566525  0.00024242100126959192
2sa        -1398.9063952273584  -1398.8571904932403  0.00016503348689522336
2sa1w      -1475.2472784039894  -1475.1934772170932  0.00018045006505520886
2sa2w      -1551.5882530335662  -1551.5285742318724  0.00020016368168302413
2sa3w      -1627.9268507036245  -1627.8636512569847  0.00021197198269164052
1mea2sa1w  -1685.2879981882734  -1685.2188142418981  0.00023204409315786563
2mea2sa    -1818.9818991132747  -1818.908999714738   0.00024450578077013095
2mea2sa1w  -1895.3214279233664  -1895.2432814078004  0.00026210469752245156
3sa        -2098.3608058357368  -2098.2987581098914  0.00020810909221941615
3mea3sa    -2728.4889113868417  -2728.3958905093536  0.0003119935518616242
4sa        -2797.817563870539   -2797.740196747908   0.00025949060080750853
2mea4sa    -3217.917573877624   -3217.8226050350086  0.0003185270589161757
